latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
33.77477,-118.2282,306.65,0.33,0.55,1/13/2016,1024,N,VIIRS,n,2,280.85,0.94,N,2,0.74436814,21.822815,1.4532967,2.418956,216.10165,
34.37386,-118.99252,333.91,0.53,0.67,1/13/2016,2003,N,VIIRS,n,2,286.09,3.19,D,0,0.97162086,22.209625,2.348901,2.9898353,193.48352,
34.29312,-118.80276,295.1,0.4,0.44,1/13/2017,919,N,VIIRS,n,2,277.34,0.29,N,0,0.8606044,21.211548,2.2247252,3.1618133,176.43681,
34.09548,-117.52982,298.45,0.71,0.75,1/13/2018,835,N,VIIRS,n,2,272.41,0.81,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60793,-117.33731,305.72,0.58,0.52,1/13/2018,1015,N,VIIRS,n,2,274.99,2.03,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09221,-117.52903,332.56,0.37,0.58,1/13/2018,2135,N,VIIRS,n,2,300.02,1.51,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60958,-117.33636,295.26,0.4,0.37,1/13/2019,931,N,VIIRS,n,2,276.31,0.55,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33367,-118.51984,326.57,0.42,0.38,1/13/2019,932,N,VIIRS,n,2,276.63,2.59,N,0,1.004478,21.653564,2.6324177,3.3162088,194.5467,
34.60583,-117.3379,300.8,0.47,0.64,1/13/2020,846,N,VIIRS,n,2,274.42,1.13,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.85422,-118.33226,298.8,0.53,0.67,1/13/2020,847,N,VIIRS,n,2,284.44,1.05,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.60518,-117.33501,308.13,0.43,0.62,1/13/2020,1027,N,VIIRS,n,2,273.19,2.29,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.36813,-118.94631,340.76,0.44,0.62,1/13/2020,2006,N,VIIRS,n,2,287.11,6.43,D,0,0.97162086,22.209625,2.348901,2.9898353,193.48352,
34.41811,-118.77625,342.97,0.48,0.64,1/13/2020,2147,N,VIIRS,n,2,288.19,6.39,D,0,0.99945056,22.010712,2.3917582,3.2035713,176.84616,
34.62177,-117.10193,307.19,0.44,0.38,1/13/2021,924,N,VIIRS,n,2,274.91,1.3,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.85503,-118.3339,295.86,0.48,0.4,1/13/2021,925,N,VIIRS,n,2,282.8,1.59,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
33.85379,-118.33418,297.5,0.39,0.36,1/13/2023,939,N,VIIRS,n,2,281.49,1.8,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
