system:index,th,vs,.geo
214_0,176.56319,3.2365384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30812291854099,34.40547538177768]}"
215_0,197.73352,4.5945053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.76480149542548]}"
216_0,200.37912,3.2013736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.58947069124537,33.50716009765815]}"
217_0,194.68407,5.045055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,34.47734060450723]}"
218_0,199.11264,4.4912086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.65700366133114]}"
219_0,192.8379,2.5107143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.11801449085943]}"
220_0,191.87912,4.51978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.47734060450723]}"
221_0,171.9478,4.308791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.58513843860158]}"
222_0,224.97803,2.5475276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,33.579025320387714]}"
223_0,179.29396,3.7423077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.8471120890127,34.7288688840607]}"
224_0,193.48352,2.8846154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.91897731174227,34.26174493631855]}"
225_0,191.01648,3.1884615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.22581232495377]}"
226_0,189.61539,3.0326922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.297677547683335]}"
227_0,195.1511,4.0203295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,34.22581232495377]}"
228_0,197.04121,4.6365385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.51327321587202]}"
229_0,203.68407,2.7524726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,33.65089054311728]}"
230_0,197.75,4.220879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.05659463898752,34.800734106790266]}"
231_0,195.84065,2.853846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.59558380945923,34.11801449085943]}"
232_0,194.5467,3.2936814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.41592075263533,34.297677547683335]}"
233_0,190.48077,3.7618132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.33361015904811]}"
234_0,174.37363,3.4571428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.441407993142455]}"
235_0,193.48352,2.9211538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.91897731174227,34.297677547683335]}"
236_0,192.27747,4.8384614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.58513843860158]}"
238_0,216.10165,2.3851647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,33.75868837721162]}"
239_0,175.51099,3.6027472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.58513843860158]}"
240_0,205.8544,2.9458792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88304470037748,34.22581232495377]}"
241_0,226.62088,2.3233516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.37998814127054,33.86648621130596]}"
242_0,200.95055,4.5346155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.58947069124537,34.51327321587202]}"
243_0,198.54121,4.429121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.692936272695924]}"
244_0,198.6978,3.2098901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,33.61495793175249]}"
245_0,198.54121,4.429121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.692936272695924]}"
246_0,189.61539,3.0326922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.297677547683335]}"
247_0,186.12637,2.4203296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.11801449085943]}"
249_0,192.37363,2.289011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2721903071762,33.938351434035525]}"
250_0,191.64835,2.6994505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.70338164355357,34.04614926812987]}"
251_0,195.1099,4.431044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.36954277041289]}"
253_0,171.9478,4.3917584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.62107104996636]}"
